사고 발생 건수,행정동,기간,강수일수,안개일수,눈일수,강수량(mm),가중교통량,신호기,유동인구,면적
3,건입동,201801,18,0,12,58.0,860.73,15.0,341251.68,2.53
6,건입동,201802,11,0,8,86.6,860.73,15.0,342506.89,2.53
7,건입동,201803,10,2,0,118.0,860.73,15.0,327685.1,2.53
2,건입동,201804,8,0,1,112.5,860.73,15.0,333694.03,2.53
6,건입동,201805,12,4,0,98.8,860.73,15.0,333584.71,2.53
11,건입동,201806,12,0,0,211.1,860.73,15.0,332058.93,2.53
7,건입동,201807,6,0,0,48.7,860.73,15.0,318676.16,2.53
11,건입동,201808,10,0,0,376.5,860.73,15.0,316338.61,2.53
7,건입동,201809,13,0,0,187.7,860.73,15.0,323769.57,2.53
7,건입동,201810,6,0,0,347.0,860.73,15.0,315612.77,2.53
6,건입동,201811,6,0,0,28.6,860.73,15.0,311267.27,2.53
3,건입동,201812,13,0,5,96.0,860.73,15.0,309419.35,2.53
4,건입동,201901,5,0,1,24.2,1567.7,15.0,317119.48,2.53
4,건입동,201902,7,0,3,37.9,1567.7,15.0,318250.71,2.53
4,건입동,201903,9,0,0,55.5,1567.7,15.0,308390.06,2.53
9,건입동,201904,8,1,0,46.4,1567.7,15.0,305759.0,2.53
7,건입동,201905,5,0,0,42.8,1567.7,15.0,310066.68,2.53
6,건입동,201906,8,0,0,145.8,1567.7,15.0,310412.8,2.53
5,건입동,201907,13,1,0,510.1,1567.7,15.0,321107.61,2.53
7,건입동,201908,12,0,0,242.3,1567.7,15.0,333263.68,2.53
4,건입동,201909,17,1,0,610.6,1567.7,15.0,309144.53,2.53
12,건입동,201910,9,0,0,188.6,1567.7,15.0,311233.48,2.53
7,건입동,201911,7,0,0,27.5,1567.7,15.0,315472.5,2.53
4,건입동,201912,7,0,1,48.2,1567.7,15.0,315397.52,2.53
6,건입동,202001,10,0,0,116.7,1383.41,15.0,326600.26,2.53
4,건입동,202002,10,0,4,29.8,1383.41,15.0,288791.76,2.53
2,건입동,202003,8,1,0,81.6,1383.41,15.0,297508.74,2.53
4,건입동,202004,6,0,0,82.3,1383.41,15.0,292304.4,2.53
7,건입동,202005,9,6,0,20.6,1383.41,15.0,305549.1,2.53
7,건입동,202006,12,5,0,221.5,1383.41,15.0,313766.67,2.53
8,건입동,202007,18,2,0,184.7,1383.41,15.0,321941.71,2.53
11,건입동,202008,9,0,0,140.4,1383.41,15.0,333800.19,2.53
6,건입동,202009,14,1,0,400.5,1383.41,15.0,315498.63,2.53
4,건입동,202010,4,0,0,53.7,1383.41,15.0,327771.19,2.53
4,건입동,202011,7,0,0,28.2,1383.41,15.0,344317.2,2.53
4,건입동,202012,6,0,5,29.5,1383.41,15.0,331351.16,2.53
18,구좌읍,201801,20,0,12,102.4,2107.11,54.0,446850.29,185.93
7,구좌읍,201802,13,0,8,125.7,2107.11,54.0,437910.32,185.93
12,구좌읍,201803,12,2,0,179.5,2107.11,54.0,450573.13,185.93
9,구좌읍,201804,11,0,1,234.1,2107.11,54.0,491721.17,185.93
8,구좌읍,201805,19,4,0,151.8,2107.11,54.0,499108.35,185.93
14,구좌읍,201806,13,0,0,377.2,2107.11,54.0,496478.77,185.93
11,구좌읍,201807,7,0,0,41.8,2107.11,54.0,514546.29,185.93
16,구좌읍,201808,8,0,0,125.0,2107.11,54.0,538494.1,185.93
8,구좌읍,201809,16,0,0,521.8,2107.11,54.0,488886.23,185.93
8,구좌읍,201810,7,0,0,184.2,2107.11,54.0,475436.65,185.93
11,구좌읍,201811,9,0,0,45.9,2107.11,54.0,445787.17,185.93
9,구좌읍,201812,13,0,5,57.3,2107.11,54.0,441833.26,185.93
6,구좌읍,201901,8,0,1,16.2,2936.18,54.0,459606.42,185.93
8,구좌읍,201902,7,0,3,77.4,2936.18,54.0,470787.54,185.93
9,구좌읍,201903,9,0,0,133.5,2936.18,54.0,466248.45,185.93
8,구좌읍,201904,9,1,0,132.5,2936.18,54.0,495163.4,185.93
8,구좌읍,201905,8,0,0,247.3,2936.18,54.0,504101.1,185.93
5,구좌읍,201906,10,0,0,170.2,2936.18,54.0,506413.03,185.93
11,구좌읍,201907,13,1,0,516.5,2936.18,54.0,524093.71,185.93
13,구좌읍,201908,11,0,0,377.4,2936.18,54.0,550420.81,185.93
8,구좌읍,201909,16,1,0,613.3,2936.18,54.0,476469.0,185.93
8,구좌읍,201910,8,0,0,233.9,2936.18,54.0,483924.61,185.93
6,구좌읍,201911,10,0,0,36.2,2936.18,54.0,465226.13,185.93
6,구좌읍,201912,10,0,1,103.7,2936.18,54.0,463958.58,185.93
